"NAME","ACCOUNTNAME__C","ACCOUNTNUMBER__C","SALESAREANAME__C","SHOPPINGCART__C","url","PAYMENTPAGEURL__C"
"SA00474538","0011000000p8VcJAAU","SP00745553","マイカロリ（PC、スマホ、フィーチャーフォン）","EC-CE","http://g-cosme.net/product/view/mkrl/mkrllp",""
"SA00474580","0011000000p8w7kAAA","SP00745571","アクティショップ　（PC）","EC-CUBE","https://www.actyshop.com",""
"SA00474617","0011000000bh4bdAAA","SP00736484","カタログギフトのハーモニック【公式サイト】（PC・スマホ）","EC-CUBE","http://www.harmonick.co.jp",""
"SA00502247","0011000000ucaZ1AAI","SP00750614","スパーク プレミアム メンバーズ ショップ(SPARK Premium Member’S  Shop)（PC・スマホ）","EC-CUBE","http://sp.meitabi.com/",""
"SA00500090","0011000000tBuO4AAK","SP00750245","7+English（PC・スマホ）","EC-CUBE","https://7plus-en.com/?CNV=default",""
"SA00501657","0015F000017u23BQAQ","SP00806966","パーツ美人　専門ショップ（PC・スマホ）","EC-CUBE","https://partsbijin.com/",""
"SA00491918","0015F000015WDVlQAO","SP00792835","電子タバコのヘルシーサポート　EC-CUBE（PC・スマホ）","EC-CUBE","http://www.healthy-s.net/joyetech/",""
"SA00492030","0011000000pgHf4AAE","SP00746910","スワグラン　EC-CUBE（PC・スマホ）","EC-CUBE","http://soiegrand.com",""
"SA00492023","0011000000LFcojAAD","SP00696954","EXENA(PC・スマホ）","EC－CUBE","http://exena.jp/",""
"SA00496424","0011000000p0UPoAAM","SP00745443","ONE SELF（PC、スマホ）","EC-CUBE","http://www.mssjapan.co.jp/oneself",""
"SA00492047","0015F000015WctKQAS","SP00792889","Dr.Q（PC・スマホ）","EC-CUBE","http://karada-mamoru.com",""
"SA00492091","0011000000NphfFAAR","SP00700338","D-cops（PC・スマホ）","EC-CUBE","http://d-cops.com/html",""
"SA00492086","0015F000015Wk3iQAC","SP00792909","業務用調味料.ラーメンの足立商店（ＰＣ）","EC-CUBE","http://www.adachishouten.com",""
"SA00492106","00110000015HIRRAA4","SP00792647","スイシア （PC・スマホ）","EC-CUBE","http://suisia.com/",""
"SA00492105","00110000015GUWXAA4","SP00792601","DELUXE DIRECT WEB SHOP　EC-CUBE（PC・スマホ・モバ）","EC-CUBE","http://deluxeshop.jp",""
"SA00500275","0015F000017a5uuQAA","SP00804058","物品レンタル業（通信販売・WEB（モバ））","EC-CUBE","http://www.kasite.com/sp",""
"SA00492761","00110000011wmbIAAQ","SP00774379","CREATORS TREE（ＰＣ・スマホ）","EC-CUBE","http://creators-tree.tokyo",""
"SA00496588","0015F0000170uD7QAI","SP00798507","ワードレコーズ・ダイレクト（PC・スマホ）","EC-CUBE","http://wardrecords.com","http://wardrecords.com/user_data/guide.php"
"SA00411694","0011000000IbGksAAF","SP00678987","特産ジャポン","EC-CUBE","http://www.tokusan-j.com",""
"SA00387506","0011000000IasGXAAZ","SP00670127","フィラーレ　ショップ","EC-CUBE","http://filare.jp",""
"SA00378721","0011000000IatWOAAZ","SP00675045","株式会社ミッシーリスト","EC-CUBE","http://www.mishii-list.com",""
"SA00389685","0011000000IapTnAAJ","SP00659422","H.I.S.地球旅市場（PC・スマホ）","EC-CUBE","http://goods.his-j.com",""
"SA00386429","0011000000IarQ3AAJ","SP00666773","APEGO","EC-CUBE","http://apego.jp",""
"SA00385914","0011000000IaoW3AAJ","SP00655718","防草シート専門店 らくやのう（PC・スマホ）","EC-CUBE","https://www.bousou-sheet.com/",""
"SA00386853","0011000000IajFOAAZ","SP00635470","新潟のお米専門店　いなほんぽ（PC・スマホ）","EC-CUBE","http://www.niigata-rice.com",""
"SA00372418","0011000000IapwGAAR","SP00661191","ハーベスト　（PC・スマホ）","EC-CUBE","http://www.harvest-web.com",""
"SA00396133","0011000000Ial3wAAB","SP00642448","Tools web shop　EC-CUBE（PC・スマホ）","EC-CUBE","http://www.tlshp.com",""
"SA00406183","0011000000Iao4pAAB","SP00654030","ハモン・デ・クジュウ Webショップ（PC・スマホ）","EC-CUBE","http://www.hamonde.jp/",""
"SA00394512","0011000000IakZTAAZ","SP00640659","テクノジェル公式オンラインストア　EC-CUBE（PC・スマホ）","EC-CUBE","http://www.technogel.jp",""
"SA00377058","0011000000Iaj0bAAB","SP00634553","ショッピングボード（PC/スマホ/フィーチャーフォン）","EC-CUBE","http://namieamuro.shopbo.jp/",""
"SA00394574","0011000000IakaSAAR","SP00640720","My Rossa Life（PC・スマホ）","EC-CUBE","http://akate.jp/",""
"SA00393656","0011000000IakroAAB","SP00641696","ハニーマザー  EC-CUBE　（PC・スマホ）","EC-CUBE","http://www.honeymother.jp",""
"SA00410210","0011000000IakHGAAZ","SP00639430","yutori no kukan online shop by 栗原はるみ　（PC・スマホ・フィーチャーフォン）","EC-CUBE","http://shop.yutorinokukan.jp/",""
"SA00411666","0011000000IbF1PAAV","SP00678966","ヘアケア・コスメ・ウィッグ専門店　プリムム","EC－CUBE","http://www.primum.jp/",""
"SA00436743","0011000000IaorKAAR","SP00656937","和陶","EC-CUBE","http://www.watou.biz",""
"SA00431628","0011000000IanybAAB","SP00653544","株式会社糸満市物産センター","EC-CUBE","http://shop.yukura.jp",""
"SA00432037","0011000000IaoVNAAZ","SP00655676","ｅｂｉｐ エビップ　（PC・スマホ）","EC-CUBE","http://ebip.jp",""
"SA00432263","0011000000IaonXAAR","SP00656802","ライフアップオンラインショッピング（PC、モバ両方）","EC-CUBE","http://www.lifeup-co.com",""
"SA00431667","0011000000IanzTAAR","SP00653598","MARUZEN&JUNKUDO","EC-CUBE","http://www.junkudo.co.jp",""
"SA00432086","0011000000IaoW3AAJ","SP00655718","芝桜専門店 らくやのう（PC・スマホ）（PC・スマホ）","EC-CUBE","https://www.sibazakura.jp/",""
"SA00419368","0011000000IajRrAAJ","SP00636243","プリンセスネット　（PC・スマホ）","EC-CUBE","http://www.princess-net.com",""
